Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
PHM	1	19	gn6c	rc://*/ta/man/translate/figs-irony	ἵνα μὴ λέγω σοι	1	Уж я не говорю тебе	«Мне не нужно напоминать тебе» или «Ты и сам знаешь». Павел говорит, что ему нет смысла напоминать об этом Филимону, но он всё равно говорит ему. Это подчеркивает, что Павел говорит ему истину. (См: [[rc://ru/ta/man/translate/figs-irony]])
PHM	1	19	st7e	rc://*/ta/man/translate/figs-explicit	σεαυτόν μοι προσοφείλεις	1	ты... самого себя мне должен	«ты должен мне свою жизнь». Павел подразумевал, что Филимон не сможет сказать, что Онисим или Павел должны ему что-либо, потому что Филимон был очень многим обязан Павлу. Причину, по которой Филимон был обязан Павлу, можно перевести яснее. Альтернативный перевод: «ты многим обязан мне, потому что я спас твою жизнь» или «ты обязан мне своей жизнью, потому что мои слова спасли тебя». (См: [[rc://ru/ta/man/translate/figs-explicit]])
PHM	1	20	j8lh	rc://*/ta/man/translate/figs-metaphor	ἀνάπαυσόν μου τὰ σπλάγχνα ἐν Χριστῷ	1	Успокой моё сердце во Христе	В некоторых переводах «ободри» или «обрадуй». «Успокой моё сердце» — это метафора, которая означает ободрение или успокоение. Здесь «сердце» — это метонимия для чувств, мыслей или внутреннего состояния человека. Можно перевести яснее, что Павел хотел, чтобы Филимон обрадовал его. Альтернативный перевод: «обрадуй меня во Христе», «утешь меня во Христе» или «освежи моё сердце во Христе, приняв Онисима с любовью». (См: [[rc://ru/ta/man/translate/figs-metaphor]] и [[rc://ru/ta/man/translate/figs-metonymy]] и [[rc://ru/ta/man/translate/figs-explicit]])
PHM	1	21	am1e	rc://*/ta/man/translate/figs-you	Общая информация:	0		Здесь местоимения «вам» и «вашим» используются во множественном числе и относятся к Филимону и верующим, которые встречались в его доме. (См: [[rc://ru/ta/man/translate/figs-you]])
PHM	1	21	xpn6		Связующее утверждение:	0		Павел заканчивает своё письмо и даёт заключительные благословения Филимону и верующим, которые встречались в церкви в доме Филимона.
PHM	1	21	g6fx		πεποιθὼς τῇ ὑπακοῇ σου	1	Уверенный в послушании твоём	«Потому что я уверен, что ты сделаешь то, о чём я тебя прошу».
PHM	1	22	bx62		ἅμα	1	в то... время	«Также»
PHM	1	22	akw1		καὶ ἑτοίμαζέ μοι ξενίαν	1	И... приготовь мне гостевую комнату	«приготовь для меня комнату в своем доме». Павел попросил Филимона сделать это для него.
PHM	1	22	ctr4		χαρισθήσομαι ὑμῖν	1	буду дарован вам	«те, кто удерживает меня в тюрьме, освободят меня, чтобы я мог прийти к вам».
PHM	1	23	x2d8	rc://*/ta/man/translate/translate-names	Ἐπαφρᾶς	1	Епафрас	Это брат во Христе, который находится в заключении с Павлом. (См: [[rc://ru/ta/man/translate/translate-names]])
PHM	1	23	khx1		ὁ συναιχμάλωτός μου ἐν Χριστῷ Ἰησοῦ	1	заключённый вместе со мной во Христе Иисусе	«который находится вместе со мной в тюрьме за служение Иисусу Христу».
PHM	1	24	si6p		Μᾶρκος, Ἀρίσταρχος, Δημᾶς, Λουκᾶς, οἱ συνεργοί μου	1	Марк, Аристарх, Димас, Лукас - сотрудники мои	«Мои соработники Марк, Аристарх, Димас и Лука тоже приветствуют вас»
PHM	1	24	i5gc	rc://*/ta/man/translate/translate-names	Μᾶρκος, Ἀρίσταρχος, Δημᾶς, Λουκᾶς	1	Марк, Аристарх, Димас, Лукас	Это мужские имена. (см.: [[rc://ru/ta/man/translate/translate-names]])
PHM	1	24	gf6e		οἱ συνεργοί μου	1	сотрудники мои	«люди, которые работают со мной» или «те, кто работает со мной».
PHM	1	25	gq7p	rc://*/ta/man/translate/figs-you	ἡ χάρις τοῦ Κυρίου ἡμῶν, Ἰησοῦ Χριστοῦ, μετὰ τοῦ πνεύματος ὑμῶν	1	Благодать Господа нашего Иисуса Христа с духом вашим	Местоимение «нашего» здесь относится к Филимону и всем, кто собирался в его доме. Фраза «ваш дух» — это синекдоха, которая представляет самих людей. Альтернативный перевод: «Пусть наш Господь Иисус Христос будет добр к вам». (См: [[rc://ru/ta/man/translate/figs-you]] и [[rc://ru/ta/man/translate/figs-synecdoche]])
PHM								
