Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
TIT	1	4	s3yr		Χριστοῦ Ἰησοῦ τοῦ Σωτῆρος ἡμῶν	1	Иисуса Христа, нашего Спасителя	“Христа Иисуса, Который является нашим Спасителем”
TIT	1	4	xy17	figs-inclusive	ἡμῶν	1	нашего	Здесь притяжательное местоимение 1 лица мн.числа (“нашего”) включает в себя Павла, Тита и всех христиан. (См: [[rc://ru/ta/man/translate/figs-inclusive]])
TIT	1	5	ew8h	grammar-connect-logic-goal	τούτου χάριν	1	Для того	Составной союз **Для того** указывает, что далее сообщается цель, с которой Павел оставил Тита на Крите (чтобы назначить старейшин в церкви). Альтернативный перевод: “Вот по какой причине” или “Вот с какой целью” (См: [[rc://ru/ta/man/translate/grammar-connect-logic-goal]])
TIT	1	5	lh9b		ἀπέλιπόν σε ἐν Κρήτῃ	1	оставил тебя на Крите	“Я поручил тебе остаться на Крите”
TIT	1	5	ga62		ἵνα τὰ λείποντα ἐπιδιορθώσῃ	1	чтобы ты исправил недостающее	“чтобы ты закончил работу, которую нужно было выполнить”
TIT	1	5	b52u		καταστήσῃς & πρεσβυτέρους	1	поставил... старейшин	“назначил... старейшин” или “выбрал... старейшин”
TIT	1	5	p56w		πρεσβυτέρους	1	старейшин	В ранней церкви старейшины осуществляли духовное руководство общинами верующих. Слово “старейшина” (по-гречески “пресвитер”) означает зрелого в вере человека.
TIT	1	6	wja4			0	Связующее утверждение:	Поручив Титу назначить пресвитеров в каждом городе на острове Крит, Павел далее излагает требования к старейшинам.
TIT	1	6	jen8		εἴ τίς ἐστιν ἀνέγκλητος	1	если есть кто непорочный	Здесь начинается описание характера старейшины. Тит должен выбрать мужчин, обладающих описанными далее характеристиками. Альтернативный перевод: “Выбери мужчин, которые непорочны” или “Старейшина должен быть безупречным”. Быть **непорочным** значит не подавать повода для осуждения, иметь репутацию человека, который не делает ничего скверного. Альтернативный перевод: “Старейшина должен быть безукоризненным” или “Старейшина не должен иметь плохую репутацию”.
TIT	1	6	ab70	figs-doublenegatives	ἀνέγκλητος	1	непорочный	Быть **непорочным** значит иметь репутацию человека, который не делает<br>ничего скверного. Альтернативный перевод: “безупречный”. Можно выразить эту<br>мысль положительно: “человек с хорошей репутацией” (См: [[rc://ru/ta/man/translate/figs-doublenegatives]])
TIT	1	6	q6uy	figs-explicit	μιᾶς γυναικὸς ἀνήρ	1	муж одной жены	Это означает, что у него есть только одна жена, то есть у него нет других жён или наложниц, и что он не изменяет своей жене. Это также может означать, что он и не находится в разводе с предыдущей женой. Альтернативный перевод: “человек, у которого одна жена” или “человек, который верен своей жене”. (См: [[rc://ru/ta/man/translate/figs-explicit]])
TIT	1	6	wd6q		τέκνα & πιστά	1	верных детей	Возможные значения: 1) дети, которые верят в Иисуса, или 2) верные дети (заслуживающие доверия).
TIT	1	7	lz7x		τὸν ἐπίσκοπον	1	епископ	Греческое слово “епископ” буквально означает “смотритель”. Здесь это слово использовано как синоним слову “старейшина” в 1:5. В термине “смотритель” (епископ) акцент ставится на функции старейшины: он присматривает (наздирает) за деятельностью церкви и за её людьми.
TIT	1	7	g2zf	figs-metaphor	Θεοῦ οἰκονόμον	1	Божий управляющий	Павел говорит о церкви как о Божьем доме, а о епископе (старейшине, “смотрителе”) – как о слуге, который управляет хозяйством. (См: [[rc://ru/ta/man/translate/figs-metaphor]])
TIT	1	7	d6l1		μὴ πάροινον	1	не пьяница	“не алкоголик” или “который не пьёт много вина”
TIT	1	7	j1qq		μὴ πλήκτην	1	не драчливый	“не жестокий” или “не любитель ссор”
TIT	1	8	i549	grammar-connect-logic-contrast	ἀλλὰ	1	но	Противительный союз **но** противопоставляет то, каким не должен быть старейшина (сказанное Павлом ранее), тому, каким он должен быть (о чём Павел говорит далее). Альтернативный перевод “напротив” (См: [[rc://ru/ta/man/translate/grammar-connect-logic-contrast]])
TIT	1	8	vkq1		φιλάγαθον	1	любящий добро	“человек, который любит делать добро”
TIT	1	8	xy11	figs-doublet	σώφρονα & ἐγκρατῆ	1	здравомыслящий... владеющий собой	Эти два термина очень близки по значению и могут переводиться одним термином, если в языке перевода имеется только один. (См: [[rc://ru/ta/man/translate/figs-doublet]])
TIT	1	8	xy12	figs-doublet	δίκαιον, ὅσιον	1	справедливый, благочестивый	Слово “справедливый” здесь близко по значению к слову “праведный”, а “чистый” относится к ритуальной чистоте. Поэтому эти два термина очень близки по значению и могут переводиться одним термином, если в вашем языке имеется только один. (См: [[rc://ru/ta/man/translate/figs-doublet]])
TIT	1	9	xwy6	figs-metaphor	ἀντεχόμενον	1	держащийся	Павел говорит о преданности христианской вере, как будто вера – это нечто осязаемое, и её можно держать в руках. Альтернативный перевод: “посвящённый” или “хорошо знающий”. (См: [[rc://ru/ta/man/translate/figs-metaphor]])
TIT	1	9	xy10		κατὰ τὴν διδαχὴν	1	в соответствии с учением	“в согласии с тем, чему мы его обучали”
TIT	1	9	abcj	grammar-connect-logic-result	ἵνα	1	чтобы	Использование союза **чтобы** означает, что речь пойдёт о цели. Цель, ради которой старейшина должен придерживаться истинного учения, заключается в том, что он должен быть способным поддерживать других и противостоять противникам. Передайте это указание на цель с помощью средств, существующих в языке перевода. (См: [[rc://ru/ta/man/translate/grammar-connect-logic-result]])
TIT	1	9	pzi1		τῇ διδασκαλίᾳ τῇ ὑγιαινούσῃ	1	здравом учении	Греческое слово **здравый** обычно употреблялось относительно физического здоровья (здоровый). Павел говорит об этом учении так, как будто верующие в него становятся духовно здоровыми, а не больными.
TIT	1	10	xsq9			0	Связующее утверждение:	Некоторые люди выступали против Божьего слова, и поэтому Павел предупреждает Тита о лжеучителях и объясняет ему, что он должен проповедовать Божье Слово.
TIT	1	10	w9kk		ἀνυπότακτοι, ματαιολόγοι	1	непокорных, пустословов	Это мятежные люди, которые не покоряются евангельской вести. Здесь **пустой** ‒ метафора, означающая “бесполезный”, а **пустословы** ‒ это люди, которые говорят никчёмные или глупые вещи. Альтернативный перевод: “люди, которые не хотят слушаться и говорят глупости” (См.: [[rc://ru/ta/man/translate/figs-metaphor]])
TIT	1	10	ga6n		φρεναπάται	1	обманщиков	Это слово означает людей, которые всеми силами стараются убедить других верить не в Евангелие, которое проповедует Павел, а во что-то другое. Альтернативный перевод: “людей, которые убеждают других верить в ложь”.
TIT	1	10	abcd	figs-hendiadys	ματαιολόγοι, καὶ φρεναπάται	1	пустословов и обманщиков	и **пустословы**, и **обманщики** – это одни и те же люди, которые распространяют лживые и бесполезные учения и хотят, чтобы люди им верили. (См: [[rc://ru/ta/man/translate/figs-hendiadys]])
TIT	1	10	pu74	figs-metonymy	οἱ ἐκ τῆς περιτομῆς	1	те, кто из обрезанных	Словосочетание “из обрезанных” обозначает христиан еврейского происхождения, которые учили, что для того, чтобы следовать за Христом, нужно быть обрезанным. Такое учение ложно (См: [[rc://ru/ta/man/translate/figs-metonymy]])
TIT	1	11	f4iy		οὓς δεῖ ἐπιστομίζειν	1	которым следует закрывать рот	“Необходимо препятствовать распространению их учения” или “Кто-то должен остановить их, чтобы они не влияли на других своими словами”
TIT	1	11	aqi5		ὅλους οἴκους ἀνατρέπουσιν	1	переворачивают целые семейства	**Они разрушают целые семьи**. Проблема заключалась в том, что они уводили семьи от истины, разрушая их веру.
TIT	1	11	tw4e		διδάσκοντες ἃ μὴ δεῖ	1	уча, чему не нужно	Это то, что не уместно в учении о Христе и Законе, потому что не является истиной.
TIT	1	11	at7c		αἰσχροῦ κέρδους χάριν	1	ради постыдной наживы	Речь идёт о прибыли, которую получают люди, делая позорные дела.
TIT	1	12	tr1j		τις ἐξ αὐτῶν, ἴδιος αὐτῶν προφήτης	1	Кто-то из них, их собственных пророков	“Один критянин, которого жители острова почитают как пророка”
TIT	1	12	y3zb	figs-hyperbole	Κρῆτες ἀεὶ ψεῦσται	1	Критяне всегда лжецы	“Критяне всегда лгут”. Это преувеличение, которое означает, что у критян была плохая репутация: они прослыли лжецами. (См: [[rc://ru/ta/man/translate/figs-hyperbole]])
TIT	1	12	h3jb	figs-metaphor	κακὰ θηρία	1	злые звери	В этой метафоре критяне сравниваются с опасными дикими зверьми. Альтернативный перевод: “опасны, как дикие звери” (См: [[rc://ru/ta/man/translate/figs-metaphor]])
TIT	1	12	xyz1	figs-synecdoche	γαστέρες ἀργαί	1	ленивые животы	Часть тела, куда поступает съеденная пища, здесь символизирует человека, который всё время ест. Альтернативный перевод: “любят обжираться и бездельничать” (См: [[rc://ru/ta/man/translate/figs-synecdoche]])
TIT	1	13	fif8		δι’ ἣν αἰτίαν ἔλεγχε αὐτοὺς ἀποτόμως	1	По этой причине обличай их строго	“Вот поэтому ты и должен говорить с критянами строго, чтобы они поняли, что должны исправиться”
TIT	1	13	abck	grammar-connect-logic-result	δι’ ἣν αἰτίαν	1	По этой причине	Союзная фраза **По этой причине** указывает на причинно-следственную связь. Причина состоит в том, что даже сам критский пророк признаёт, что критяне злые лжецы и лентяи, а следствие в том, что Тит должен сурово обличать их. (См: [[rc://ru/ta/man/translate/grammar-connect-logic-result]])
TIT	1	13	je3r		ἵνα ὑγιαίνωσιν ἐν τῇ πίστει	1	чтобы были здравы в вере	См. примечание к **здравый** в [Тит. 1:9](../01/09/pzi1). Альтернативный перевод: “чтобы у них была здоровая вера”, “чтобы их вера была правильной” или “чтобы они верили только в правду о Боге”
TIT	1	13	abcl	grammar-connect-logic-result	ἵνα	1	чтобы	Союз **чтобы** указывает на причинно-следственную связь. Причина: старейшина строго обличает критян, а следствие этого: критяне становятся здравыми в вере. (См: [[rc://ru/ta/man/translate/grammar-connect-logic-result]])
TIT	1	13	xyz2	figs-abstractnouns	ἐν τῇ πίστει	1	в вере	Здесь абстрактное понятие **вера** указывает на то, во что именно люди верят: они думают о Боге, какой Бог по характеру, что Бог сделал и т.д. Альтернативный перевод: “в том, во что они верят” или “в том, что они думают о Боге”. (См: [[rc://ru/ta/man/translate/figs-abstractnouns]])
TIT	1	14	abcm	grammar-connect-logic-contrast	μὴ	1	не	Соединительным словом **не** вводится противопоставление фразе “здравы в вере” в предыдущем стихе. Для того, чтобы быть здравым в вере (то есть чтобы верить правильно), люди не должны обращать внимания на иудейские предания и указания тех, кто не следует истине. (См: [[rc://ru/ta/man/translate/grammar-connect-logic-contrast]])
TIT	1	14	p28i		Ἰουδαϊκοῖς μύθοις	1	иудейским мифам	Подразумевается ложное учение иудеев.
TIT	1	14	m4a5	figs-metaphor	ἀποστρεφομένων τὴν ἀλήθειαν	1	отвернувшихся от истины	Павел говорит об истине, как будто это объект, от которого можно отвернуться или убежать. Альтернативный перевод: “которые отвергли истину”. (См: [[rc://ru/ta/man/translate/figs-metaphor]])
TIT	1	15	qtb9		πάντα καθαρὰ τοῖς καθαροῖς	1	Всё чисто для чистых	“Если люди чисты внутри, то всё, что они делают, будет чистым” или “Когда у людей только добрые мысли, то никакие их дела не оскорбят Бога”
TIT	1	15	nx42		τοῖς καθαροῖς	1	для чистых	“Для тех, кто угоден Богу”
TIT	1	15	abcn	grammar-connect-logic-contrast	δὲ	1	а	Союз **а** указывает на противопоставление людей чистых и людей нечистых, неверующих. (См: [[rc://ru/ta/man/translate/grammar-connect-logic-contrast]])
TIT	1	15	n3wk	figs-metaphor	τοῖς & μεμιαμμένοις καὶ ἀπίστοις, οὐδὲν καθαρόν	1	для осквернённых и неверующих нет ничего чистого	Павел называет верующих чистыми, но подразумевает чистоту духовную, а не телесную. Альтернативный перевод: “Всё хорошо для тех, кто духовно чист, а для тех, которые грешат и живут в неверии, никакие дела не хороши” (См: [[rc://ru/ta/man/translate/figs-metaphor]])
TIT	1	16	abco	grammar-connect-logic-contrast	δὲ	1	а	Соединительным словом **а** вводится противопоставление того, что говорят эти испорченные люди (якобы они знают Бога), и того, о чём свидетельствуют их поступки (что они не знают Бога). (См: [[rc://ru/ta/man/translate/grammar-connect-logic-contrast]])
TIT	1	16	i3l2		τοῖς & ἔργοις ἀρνοῦνται	1	делами отрекаются	“их образ жизни доказывает, что они не знают Бога”
TIT	1	16	ja47		βδελυκτοὶ ὄντες	1	будучи мерзкими	“Они отвратительны”
TIT	2	intro	h3il			0		# Титу Глава 2. Общие примечания<br><br>## Специальные понятия в этой главе<br><br>### Гендерные роли<br><br>Учёные разделились во мнениях о том, как понимать этот отрывок в его историческом и культурном контексте. Некоторые учёные считают, что мужчины и женщины совершенно равны во всём. Другие учёные полагают, что Бог создал мужчину и женщину разными, и поэтому роли мужчины и женщины в браке и церкви различаются. Переводчики должны быть осторожны, чтобы не допустить их собственную точку зрения относительно этой проблемы и тем самым не повлиять на перевод данного отрывка.<br><br>### Рабство<br><br>В этой главе Павел не говорит о том, хорошо ли рабство или плохо. Павел учит рабов добросовестно служить своим хозяевам. Он учит всех верующих быть благочестивыми и жить праведно во всех ситуациях.
TIT	2	1	lfu1			0	Связующее утверждение:	Павел продолжает давать Титу основание для проповеди Божьего Слова и объясняет, как пожилые мужчины, пожилые женщины, молодые люди, а также рабы (слуги) должны жить в вере.
TIT	2	1	tpi2	figs-explicit	σὺ δὲ	1	А ты	Здесь Павел обращается к Титу. Можно уточнить: “Но ты, Тит, ...” (См: [[rc://ru/ta/man/translate/figs-explicit]])
TIT	2	1	ph2j		τῇ ὑγιαινούσῃ διδασκαλίᾳ	1	здравому учению	Смотрите примечания к [Титу 1:9](../01/09/pzi1) Альтернативный перевод “здравым доктринам” или “правильному учению”
TIT	2	2	xyz3	figs-ellipsis	πρεσβύτας & εἶναι	1	пожилым мужчинам быть	В этом стихе и далее Павел объясняет, чему именно Тит должен учить людей. Возможно, вам следует добавить глагол, чтобы необходимо через глагол выразить связь с предыдущим стихом с помощью глаголов **учить** или **наставлять**. Альтернативный перевод: “Учи пожилых мужчин быть....” (См: [[rc://ru/ta/man/translate/figs-ellipsis]])
TIT	2	2	xy13	figs-doublet	νηφαλίους & σεμνούς, σώφρονας	1	трезвыми, серьёзными, рассудительными	Эти три слова очень близки по значению и могут быть объединены в один или два термина, если в языке перевода нет три отдельных термина. (См: [[rc://ru/ta/man/translate/figs-doublet]])
TIT	2	2	xc6t		νηφαλίους	1	трезвыми	“здравомыслящие” или “владеющие собой”
TIT	2	2	y3j2		εἶναι & σώφρονας	1	быть... рассудительными	контролировать свои желания
TIT	2	2	abc1		ὑγιαίνοντας τῇ πίστει	1	здравыми в вере	Смотрите примечание на слово **здравый** в [Титу 1:9](../01/09/pzi1) и примечание о **здравой вере** в [Титу 1:13](../01/13/je3r).
TIT	2	2	m14y	figs-abstractnouns	ὑγιαίνοντας τῇ πίστει	1	здравыми в вере	Значение абстрактного понятия **вера** можно передать глагольной формой, если так будет более ясно на языке перевода. Альтернативный перевод: “твёрдо верующие истинному учению о Боге” (См: [[rc://ru/ta/man/translate/figs-abstractnouns]])
TIT	2	2	z14y	figs-abstractnouns	τῇ ἀγάπῃ	1	в любви	Значение абстрактного понятия **любовь** может быть передано глаголом, если так будет более ясно звучать на языке перевода. Альтернативный перевод: “искренно любя других” (См: [[rc://ru/ta/man/translate/figs-abstractnouns]])
TIT	2	2	a14y	figs-abstractnouns	τῇ ὑπομονῇ	1	в терпении	Значение абстрактного понятия **терпение** может быть передано глаголом, если так будет более ясно звучать на языке перевода. Альтернативный перевод: “продолжая служить Богу даже в трудные времена” (См: [[rc://ru/ta/man/translate/figs-abstractnouns]])
TIT	2	3	gl8e	figs-ellipsis	πρεσβύτιδας ὡσαύτως	1	пожилым женщинам точно так же	Наречие “точно так же” указывает на связь этого стиха с 2:2 и 2:2. Возможно, следует добавить глагол (**учить** или **наставлять**). Альтернативный перевод: “Точно также научи пожилых женщин” или “Также наставляй пожилых женщин” (См: [[rc://ru/ta/man/translate/figs-ellipsis]])
TIT	2	3	v9cp		διαβόλους	1	клеветницами	Слово “клеветник” (“клеветница”) означает человека, который плохо говорит о других, независимо от того, верны его слова или нет.
TIT	2	3	g9re	figs-metaphor	οἴνῳ πολλῷ δεδουλωμένας	1	порабощёнными чрезмерно вином	О человеке, который не может контролировать себя и пьёт слишком много вина, говорится как о рабе вина. Альтернативный перевод: “сдерживали свои желания касательно вина” или “чтобы не пристрастились к вину”. (См: [[rc://ru/ta/man/translate/figs-metaphor]])
TIT	2	3	xyz4	figs-activepassive	οἴνῳ πολλῷ δεδουλωμένας	1	порабощёнными чрезмерно вином	Причастие “порабощённые вином” означает “рабы вина”. Можно передать это активной формой. Альтернативный перевод: “пить слишком много вина” или “иметь алкогольную зависимость”. (См: [[rc://ru/ta/man/translate/figs-activepassive]])
TIT	2	3	abc4		καλοδιδασκάλους	1	учителями добра	В греческом тексте слово, означающее “учителя добра” идёт сразу следом за фразой, означающей “не порабощены вином”. Возможно, следует добавить противительный союз или какую-то фразу, которая бы подчёркивала контраст между отрицательными и положительными характеристиками. Например, “Вместо этого” (RLOB) или “Напротив, они должны быть...”
TIT	2	4	abc5		φιλάνδρους	1	любящими мужей	любящими своих мужей
TIT	2	4	abca		φιλοτέκνους	1	любящими детей	любящими своих детей
TIT	2	5	abcb		ὑποτασσομένας τοῖς ἰδίοις ἀνδράσιν	1	подчиняющимися своим мужьям	покоряющимися своим мужьям
TIT	2	5	t5v6	figs-activepassive	ἵνα μὴ ὁ λόγος τοῦ Θεοῦ βλασφημῆται	1	чтобы Божье Слово не было поругаемо	Здесь **Слово Божье** – это метонимия, означающая “учение о Боге” или “послание Бога”, которое в свою очередь тоже является метонимией, означающей самого Бога. Можно раскрыть эту метонимию, а также передать фразу в активной форме. Альтернативный перевод: “чтобы никто не оскорблял Божье слово” или “чтобы никто не оскорблял Бога, плохо отзываясь о Его послании”. (См: [[rc://ru/ta/man/translate/figs-activepassive]])
TIT	2	6	i3hv		ὡσαύτως	1	Точно так же	Тит должен был обучать молодых людей так же, как он обучал пожилых (см. стихи 1-5).
TIT	2	7	x73u		σεαυτὸν παρεχόμενος	1	являй собой	“являй собой” или “ты сам должен быть”
TIT	2	7	ym6x		τύπον καλῶν ἔργων	1	образец добрых дел	“примером того, кто делает хорошие и правильные вещи”
TIT	2	8	xy14		ὑγιῆ	1	неповреждённое... здравое	Это слово имеет такое же значение как и **неповреждённость** в 2:7. В 2:7 Павел выражает это значение через негатив: **неповреждённость**, подразумевая **без ошибок**, а в 2:8 он передаёт это значение позитивно: **здравый, целостный**, подразумевая **правильный**. Оба термина Павел относит к учению. Можно в языке перевода использовать и позитивный термин, и негативный, или использовать один и тот же термин в обоих стихах, если трудно найти две разных лексемы.
TIT	2	8	xt6v	figs-hypo	ἵνα ὁ ἐξ ἐναντίας ἐντραπῇ	1	чтобы тот, кто от противника, был опозорен	Речь идёт о гипотетической ситуации, когда кто-то выступает против Тита, а затем стыдится своих действий. Альтернативный перевод: “так что если кто-то будет тебе возражать, ему станет стыдно” или “чтобы, когда кто-нибудь будет выступать против тебя, ему стало стыдно”. (См: [[rc://ru/ta/man/translate/figs-hypo]])
TIT	2	8	xy15	figs-inclusive	ἡμῶν	1	нас	Местоимение 3 лица мн.числа (“нас”) включает Павла, Тита и всех христиан. (См: [[rc://ru/ta/man/translate/figs-inclusive]])
TIT	2	9	xyz5	figs-ellipsis	δούλους ἰδίοις δεσπόταις ὑποτάσσεσθαι	1	рабам – подчиняться своим господам	Павел продолжает перечислять различные категории верующих, которых должен учить Тит. Возможно, вам следует добавить в переводе глагол **убеждать** или **наставлять**, чтобы подчеркнуть связь со стихом 6. Альтернативный перевод: “Убеждай рабов подчиняться своим господам” (См: [[rc://ru/ta/man/translate/figs-ellipsis]])
TIT	2	9	ntp7		ἰδίοις δεσπόταις	1	своим господам	“своим хозяевам”
TIT	2	9	abcc		ὑποτάσσεσθαι	1	подчиняться	“пусть будут послушны”
TIT	2	9	if6v		ἐν πᾶσιν	1	во всём	“в любой ситуации” или “всегда”
TIT	2	9	id15		εὐαρέστους εἶναι	1	угождать	“делать всё, что они скажут” или “удовлетворять требования своих хозяев”
TIT	2	10	abc6		μὴ νοσφιζομένους	1	не красть	“не воровать у своих хозяев”
TIT	2	10	t87j		πᾶσαν πίστιν ἐνδεικνυμένους ἀγαθήν	1	являть всю добрую верность	“показывать, что они достойны доверия своих хозяев”
TIT	2	10	h2n6		ἐν πᾶσιν	1	во всём	“во всём, что они делают”
TIT	2	10	f8jy		τὴν διδασκαλίαν τὴν τοῦ Σωτῆρος ἡμῶν, Θεοῦ, κοσμῶσιν	1	украшением учения нашего Спасителя Бога	“чтобы сделать учение о Боге, нашем Спасителе, привлекательным” или “чтобы другие люди поняли, что учение нашего Бога и Спасителя хорошо”.
TIT	2	10	pn93		τὴν τοῦ Σωτῆρος ἡμῶν, Θεοῦ	1	нашего Спасителя Бога	“нашего Бога, который спас нас”
